Rk,Player,Rec,Tgt,Date,Age,Team,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Draft,Pos.,Draft,Player-additional
401,Najee Harris,6,7,2021-10-03,23-208,PIT,@,GNB,L 17-27,7,6,29,4.8,0,85.7,4.1,1-24,RB,1-24,HarrNa00
402,Najee Harris,6,7,2021-10-17,23-222,PIT,,SEA,W 23-20 (OT),7,6,46,7.7,1,85.7,6.6,1-24,RB,1-24,HarrNa00
403,Derrick Henry,6,6,2021-09-19,27-258,TEN,@,SEA,W 33-30 (OT),6,6,55,9.2,0,100.0,9.2,2-45,RB,2-45,HenrDe00
404,Hunter Henry,6,8,2021-10-10,26-307,NWE,@,HOU,W 25-22,8,6,75,12.5,1,75.0,9.4,2-35,TE,2-35,HenrHu00
405,Hunter Henry,6,8,2021-12-18,27-011,NWE,@,IND,L 17-27,8,6,77,12.8,2,75.0,9.6,2-35,TE,2-35,HenrHu00
406,Tyler Higbee,6,9,2022-01-02,29-001,LAR,@,BAL,W 20-19,9,6,69,11.5,0,66.7,7.7,4-110,TE,4-110,HigbTy00
407,Tyler Higbee,6,8,2022-01-09,29-008,LAR,,SFO,L 24-27 (OT),8,6,55,9.2,2,75.0,6.9,4-110,TE,4-110,HigbTy00
408,Tee Higgins,6,10,2021-09-19,22-244,CIN,@,CHI,L 17-20,10,6,60,10.0,1,60.0,6.0,2-33,WR,2-33,HiggTe00
409,Tee Higgins,6,8,2021-11-07,22-293,CIN,,CLE,L 16-41,8,6,78,13.0,0,75.0,9.8,2-33,WR,2-33,HiggTe00
410,Tee Higgins,6,8,2021-11-28,22-314,CIN,,PIT,W 41-10,8,6,114,19.0,1,75.0,14.3,2-33,WR,2-33,HiggTe00
411,Tyreek Hill,6,9,2021-10-24,27-237,KAN,@,TEN,L 3-27,9,6,49,8.2,0,66.7,5.4,5-165,WR,5-165,HillTy00
412,Tyreek Hill,6,10,2022-01-02,27-307,KAN,@,CIN,L 31-34,10,6,40,6.7,0,60.0,4.0,5-165,WR,5-165,HillTy00
413,Nyheim Hines,6,8,2021-09-12,24-304,IND,,SEA,L 16-28,8,6,48,8.0,0,75.0,6.0,4-104,RB,4-104,HineNy00
414,T.J. Hockenson,6,9,2021-10-24,24-113,DET,@,LAR,L 19-28,9,6,48,8.0,0,66.7,5.3,1-8,TE,1-8,HockTJ00
