Winner,Loser
Buffalo,St. Francis (Pa.)
Eastern Mich.,Rochester (Mich.)
Morehead State,Ky. Christian
St. John's,Loyola (Md.)
UCF,Rider
Seton Hall,Wagner
Providence,Siena
Indiana,Chicago State
Dartmouth,Newbury
Western Mich.,Detroit Mercy
Hampton,Mid-Atlantic Christ.
Illinois State,FGCU
Army West Point,Marist
New Hampshire,Rivier
Purdue,Fairfield
Bowling Green,Tiffin
Pittsburgh,Youngstown St.
Massachusetts,Mass.-Lowell
Kansas,Mich. St.
Charleston,Presbyterian
NC State,Mt. St. Mary's
North Carolina,Wofford
Harvard,MIT
Akron,Cedarville
Furman,Bob Jones
South Carolina,S.C. Upstate
Abilene Christian,Arlington Baptist
Rhode Island,Bryant
Tennessee,Lenoir-Rhyne
Villanova,Morgan State
Air Force,John. & Wales (Colo.)
Central Mich.,Concordia (Mich.)
Cent. Conn. St.,Hartford
Old Dominion,Navy
S. Carolina St.,Brevard
Chattanooga,Charlotte
Longwood,Randolph
Radford,Davis & Elkins
Penn,George Mason
Appalachian St.,Mars Hill
Boston College,Milwaukee
Ball State,Indiana State
James Madison,East. Mennonite
Stony Brook,Geo. Washington
Virginia,Towson
NJIT,Colgate
Florida A&M,Jacksonville
VMI,Washington (Md.)
Fordham,CCNY
Northern Kentucky,Wilmington (Ohio)
Notre Dame,UIC
VCU,Gardner-Webb
Syracuse,Eastern Wash.
Georgia State,East Tenn. St.
Davidson,Cleveland State
Clemson,Citadel
South Florida,Alabama A&M
Holy Cross,Sacred Heart
SFA,Texas Wesleyan
Campbell,UNCW
Coastal Caro.,Ferrum
Sam Houston St.,E. Texas Bapt.
Middle Tenn.,Lees-McRae
Charleston So.,Columbia Int'l
Temple,La Salle
Maryland,Delaware
Samford,North Alabama
UNCG,N.C. A&T
Texas Tech,Incarnate Word
East Carolina,Delaware State
Alabama,Southern Univ.
Arizona St.,CSU Fullerton
Texas,Eastern Illinois
UNI,Bemidji State
North Dakota,Northland
Minnesota,Omaha
Troy,Fort Valley St.
UTRGV,Texas A&M-Comm.
Saint Louis,Southeast Mo. St.
Louisiana Tech,Wichita State
South Dakota St.,Grand Canyon
La.-Monroe,Jackson State
Wisconsin,Coppin State
Lamar University,Huston-Tillotson
Iowa State,Alabama State
Boston U.,Northeastern
Nicholls State,Mississippi Coll.
North Texas,Angelo State
Tulsa,Alcorn State
UT Arlington,UT Tyler
Missouri State,Oral Roberts
Pacific,SIUE
Rice,Saint Leo
UAB,Mercer
Austin Peay,Oakland City
Memphis,Tennessee Tech
Nebraska,Mississippi Val.
Missouri,Central Ark.
Cornell,Binghamton
Northern Ill.,Rockford
Lipscomb,Sewanee
LSU,Southeastern La.
Creighton,Western Illinois
Xavier,IUPUI
Lehigh,Monmouth
UT Martin,Cumberland
Elon,Manhattan
Michigan,Norfolk State
Southern Utah,West Coast Baptist
Georgetown,UMES
New Orleans,Spring Hill
UTEP,UT Permian Basin
Utah State,Montana St.
UCLA,Fort Wayne
Florida State,Florida
Loyola Chicago,UMKC
Gonzaga,Idaho State
Auburn,South Alabama
N'western St.,Centenary (La.)
Utah Valley,Westmin. (Utah)
Marquette,UMBC
Oregon St.,UC Riverside
Denver,Maine
Duke,Kentucky
New Mexico St.,North Dakota St.
Texas Southern,Baylor
Vanderbilt,Winthrop
San Diego,Weber State
San Diego State,Ark.-Pine Bluff
San Francisco,UC Davis
Portland,Multnomah Bible
UC Irvine,Idaho
Fresno State,Alaska-Anch.
UC Santa Barb.,Wyoming
Stanford,Seattle U
New Mexico,CSUN
Washington,Western Ky.
USC,Robert Morris
Oregon,Portland State
Nevada,BYU
Ohio St.,Cincinnati
Dayton,North Florida
Ohio,Wilberforce
Wright State,Western Caro.
Stetson,Fla. Christian
St. Peter's,Lafayette
Bucknell,St. Bonaventure
Florida Atlantic,Florida Tech
Marshall,Eastern Kentucky
William & Mary,High Point
Ga. Southern,Carver Bible
Howard,Wash. Advent.
St. Francis (B'klyn),Medgar Evers
FIU,Webber Int'l
DePaul,Bethune-Cookman
Kennesaw State,Oglethorpe
South Dakota,York (NE)
St. Edward's,UTSA
Texas A&M-C.C.,Howard Payne
Bradley,Wis.-Parkside
TCU,CSU Bakersfield
Arizona,Houston Baptist
Colorado State,Colo. Christian
Texas A&M,Savannah State
St. Mary's (Cal.),McNeese
Pepperdine,CSU Dom. Hills
Cal Poly,Menlo
San Jose State,LIFE Pacific
UNC Asheville,St. Andrews
UConn,Morehead State
Fort Wayne,Earlham
Liberty,Maine-Fort Kent
East Tenn. St.,Hiwassee
Notre Dame,Chicago State
Louisville,Nicholls State
Norfolk State,Mid-Atlantic Christ.
Siena,Geo. Washington
Little Rock,S'eastern Okla.
SMU,N'western St.
Northwestern,New Orleans
Sam Houston St.,S'western (Texas)
South Dakota St.,Alabama State
Iowa,UMKC
Central Ark.,Hendrix
Drake,Buena Vista
Illinois,Evansville
Utah,Maine
Seattle U,Puget Sound
Hawaii,Portland
Eastern Mich.,Drexel
Middle Tenn.,Milligan
Omaha,Buena Vista
CSU Bakersfield,Antelope Valley
Indiana State,Green Bay
Wichita State,Providence
St. John's,Bowling Green
Toledo,Oakland
Florida,Charleston So.
Rutgers,Fairleigh D'son
Temple,Detroit Mercy
Central Mich.,Chicago State
American,George Mason
Stanford,UNCW
Texas,Arkansas
Northern Kentucky,Northern Ill.
Longwood,Richmond
Clemson,N.C. Central
North Carolina,Elon
Massachusetts,New Hampshire
Tennessee,Louisiana
Pittsburgh,VMI
Northeastern,Harvard
Mercer,Piedmont
Miami (Fla.),Lehigh
Colgate,Monmouth
Virginia Tech,Gardner-Webb
Iowa State,Missouri
Davidson,Dartmouth
St. Francis (Pa.),Morgan State
Kentucky,Southern Ill.
Stony Brook,South Carolina
Vermont,Boston U.
VCU,Hampton
Hofstra,Mt. St. Mary's
Mississippi St.,Austin Peay
Saint Joseph's,Old Dominion
Georgia Tech,Lamar University
Penn St.,North Florida
Samford,Jacksonville St.
LIU Brooklyn,Brown
Coastal Caro.,Campbell
James Madison,East Carolina
Iona,Albany
Penn,Rice
Furman,Loyola Chicago
Southeastern La.,William Carey
Missouri State,Robert Morris
Texas A&M-C.C.,Our Lady Of The Lake
Incarnate Word,St. Francis (Ill.)
NJIT,Binghamton
LSU,UNCG
Indiana,Montana St.
Texas State,Air Force
Alcorn State,Blue Mountain
Kansas St.,Kennesaw State
Abilene Christian,Arkansas State
Grambling,Jarvis Christian
Maryland,Navy
Georgia,Savannah State
Oklahoma,UTRGV
Oregon,Eastern Wash.
Weber State,Bethesda Christian
Buffalo,West Virginia
Montana,Georgia State
New Mexico St.,UTEP
Utah State,Hartford
Northern Colo.,Colorado Col.
Radford,UIC
Arizona St.,McNeese
Texas Tech,Mississippi Val.
Auburn,Washington
UC Irvine,Texas A&M
BYU,Utah Valley
Nevada,Pacific
San Diego,UC Davis
Prairie View A&M,Santa Clara
Sacramento St.,Simpson (CA)
North Texas,Humboldt State
Yale,California
UCLA,Long Beach St.
Hawaii,Humboldt State
NC State,UMES
Charleston,Western Caro.
Mass.-Lowell,Wagner
IUPUI,Eastern Illinois
UMBC,Shenandoah
Florida A&M,Tuskegee
La.-Monroe,Millsaps
St. Bonaventure,Jackson State
Bradley,Southeast Mo. St.
Northern Ariz.,Jacksonville
Wake Forest,N.C. A&T
Wofford,High Point
Lafayette,La Salle
Oregon St.,Wyoming
Western Illinois,North Park
Houston,Alabama A&M
S.C. Upstate,Brevard
Mississippi,Western Mich.
Charlotte,Oklahoma State
Colorado State,Ark.-Pine Bluff
Marquette,Bethune-Cookman
Lipscomb,Tennessee State
Xavier,Evansville
Akron,Youngstown St.
Tulsa,S. Carolina St.
South Dakota St.,Bemidji State
CSU Fullerton,West Coast Baptist
Duquesne,William & Mary
San Francisco,Maine
Delaware,St. Peter's
Baylor,Southern Univ.
Georgetown,Cent. Conn. St.
Fairfield,Bucknell
Eastern Kentucky,Chattanooga
Syracuse,Morehead State
Kent State,Cleveland State
Toledo,Wilberforce
Marist,Columbia
North Dakota,Milwaukee
Norfolk State,Clarion
Long Beach St.,Menlo
Western Ky.,UT Martin
Dayton,Coppin State
Butler,Miami (Ohio)
Presbyterian,Tennessee Tech
Michigan,Holy Cross
Murray State,Wright State
Villanova,Quinnipiac
Saint Louis,Troy
Incarnate Word,UT Tyler
Winthrop,SIUE
UT Arlington,UNI
Houston Baptist,Fordham
Purdue,Ball State
Belmont,Illinois State
Idaho State,Boise State
Southern Utah,San Jose State
Grand Canyon,Delaware State
North Texas,Portland
LMU,UNLV
Gonzaga,Texas Southern
Portland State,UC Riverside
VMI,Goucher
Colgate,Cornell
Boston U.,Emerson
Boston College,St. Francis (B'klyn)
Duke,Army West Point
Creighton,East Tenn. St.
NJIT,Brown
North Dakota St.,UC Santa Barb.
Virginia,Geo. Washington
Eastern Mich.,Goshen
Marshall,Hofstra
Southern Miss,SMU
Rutgers,Drexel
Iowa,Green Bay
Florida Atlantic,UCF
Howard,Central Penn
Savannah State,Middle Ga. St.
Nebraska,Southeastern La.
Ohio St.,Fort Wayne
Missouri State,Stetson
East Carolina,Lamar University
Towson,Wesley
UConn,UMKC
Mississippi St.,Hartford
Louisiana Tech,Sam Houston St.
Arizona,Cal Poly
TCU,Oral Roberts
South Alabama,Huntingdon
Dartmouth,Loyola (Md.)
Mich. St.,FGCU
Northern Kentucky,Wabash
Alabama State,LaGrange
Washington St.,Nicholls State
Florida State,Tulane
Alabama,Appalachian St.
St. Mary's (Cal.),Utah Valley
Montana St.,Presentation
Vanderbilt,USC
Seattle U,Bryant
North Texas,Hawaii
New Hampshire,Mt. St. Vincent
Butler,Detroit Mercy
Ohio,Campbell
North Carolina,Stanford
James Madison,Bridgewater
Citadel,Mid-Atlantic Christ.
Penn St.,Jacksonville St.
Pittsburgh,Troy
Saint Joseph's,Monmouth
VCU,Bowling Green
South Florida,Austin Peay
Niagara,St. Bonaventure
Youngstown St.,Heidelberg
Binghamton,Misericordia
UMBC,Manhattan
Maryland,N.C. A&T
Southeast Mo. St.,Quincy
Samford,Kennesaw State
Sacred Heart,Western New Eng.
Incarnate Word,Texas Lutheran
Central Ark.,Ozarks
South Dakota,Northern Ariz.
Arkansas,UC Davis
Belmont,Middle Tenn.
Duquesne,UIC
Rice,Alabama A&M
New Orleans,Pensacola Christian
Buffalo,Southern Ill.
Northwestern,American
Iowa State,Texas Southern
Texas,La.-Monroe
UTRGV,Texas A&M-C.C.
Baylor,Prairie View A&M
Oklahoma,UTSA
DePaul,Morgan State
Montana,Montana Tech
Kansas St.,Denver
Minnesota,Utah
Arizona St.,Long Beach St.
Kansas,Vermont
Grand Canyon,Jacksonville
UC Irvine,LIFE Pacific
San Francisco,Sonoma State
Washington,San Diego
Wisconsin,Xavier
Texas State,Hardin-Simmons
Wofford,Carver Bible
Penn,Lafayette
Miami (Fla.),SFA
Harvard,Massachusetts
Delaware,Chestnut Hill
Dartmouth,Elms
Temple,Georgia
NC State,UNC Asheville
Cent. Conn. St.,Mass.-Lowell
Cleveland State,Urbana
FIU,Milwaukee
Louisville,Southern Univ.
Longwood,UMES
Western Mich.,Oakland
Ga. Southern,George Mason
Furman,Gardner-Webb
Chattanooga,Cumberland
UNCG,UNCW
Lehigh,Marist
Savannah State,Tennessee Tech
Winthrop,Pfeiffer
Fort Wayne,Manchester
Georgia State,Mercer
Providence,Holy Cross
Canisius,Bucknell
Charleston,Rhode Island
Bethune-Cookman,Trinity Baptist
LSU,Memphis
Cincinnati,N.C. Central
South Carolina,Norfolk State
Loyola (Md.),Delaware State
LIU Brooklyn,Fairfield
Texas Tech,Southeastern La.
Charleston So.,S. Carolina St.
Louisiana Tech,Harding
Cal Baptist,Oral Roberts
Little Rock,Tennessee State
Colorado,Drake
Saint Louis,North Alabama
Tulane,Coastal Caro.
Illinois State,Chicago State
Georgetown,Illinois
Liberty,Trevecca Nazarene
BYU,N'western St.
LMU,CSUN
Northern Colo.,Pepperdine
New Mexico,Iona
Utah State,Mississippi Val.
Tennessee,Georgia Tech
UNLV,UC Riverside
UC Santa Barb.,Cal Lutheran
California,Hampton
Nicholls State,Idaho
Pacific,CSU Stanislaus
Richmond,St. Francis (B'klyn)
Michigan,Villanova
Bryant,St. Peter's
Citadel,Fla. Christian
Colgate,Nazareth
Drexel,Bryn Athyn
Wright State,Toledo
Vermont,Lyndon State
North Florida,Edward Waters
Indiana State,McKendree
IUPUI,Boston College
NJIT,Kean
Florida,La Salle
Radford,Notre Dame
Navy,Coppin State
